Epoch 5, Avg Loss: 65.9039
Epoch 10, Avg Loss: 50.174
Epoch 15, Avg Loss: 43.5762
Epoch 20, Avg Loss: 41.7429
Epoch 25, Avg Loss: 38.9102
Epoch 30, Avg Loss: 37.1489
Epoch 35, Avg Loss: 36.2725
Epoch 40, Avg Loss: 34.7316
Epoch 45, Avg Loss: 33.3248
Epoch 50, Avg Loss: 32.5082
Epoch 55, Avg Loss: 31.7873
Epoch 60, Avg Loss: 31.9677
Epoch 65, Avg Loss: 30.0729
Epoch 70, Avg Loss: 29.6811
Epoch 75, Avg Loss: 29.7288
Epoch 80, Avg Loss: 29.1211
Epoch 85, Avg Loss: 27.928
Epoch 90, Avg Loss: 27.4478
Epoch 95, Avg Loss: 27.3287
Epoch 100, Avg Loss: 27.094
Epoch 105, Avg Loss: 26.4022
Epoch 110, Avg Loss: 26.5002
Epoch 115, Avg Loss: 25.4364
Epoch 120, Avg Loss: 25.8351
Epoch 125, Avg Loss: 25.3155
Epoch 130, Avg Loss: 24.792
Epoch 135, Avg Loss: 25.1584
Epoch 140, Avg Loss: 24.1225
Epoch 145, Avg Loss: 23.4979
Epoch 150, Avg Loss: 23.8281
Epoch 155, Avg Loss: 23.8815
Epoch 160, Avg Loss: 23.7877
Epoch 165, Avg Loss: 23.3553
Epoch 170, Avg Loss: 23.0639
Epoch 175, Avg Loss: 22.819
Epoch 180, Avg Loss: 23.1124
Epoch 185, Avg Loss: 22.1408
Epoch 190, Avg Loss: 22.8826
Epoch 195, Avg Loss: 21.9232
Epoch 200, Avg Loss: 22.0594
Epoch 205, Avg Loss: 21.9644
Epoch 210, Avg Loss: 21.3688
Epoch 215, Avg Loss: 21.3716
Epoch 220, Avg Loss: 20.9457
Epoch 225, Avg Loss: 21.2524
Epoch 230, Avg Loss: 21.4295
Epoch 235, Avg Loss: 20.1372
Epoch 240, Avg Loss: 20.7196
Epoch 245, Avg Loss: 20.7064
Epoch 250, Avg Loss: 20.2017
Epoch 255, Avg Loss: 20.2607
Epoch 260, Avg Loss: 20.5893
Epoch 265, Avg Loss: 19.9262
